,Video ID,Video Title,Duration in Minutes,Published Datetime
25,iMpSD2_wr5o,"Enterprise DNA Learning Summit - February 2020, Exploration Of Iterating Functions",43.28,2020-02-19 21:18:02
26,lpGdd4UnVi4,Steps To Mastering Power BI & DAX,59.97,2019-12-04 22:00:06
27,UQxKbshCYCo,"Enterprise DNA Learning Summit - May 2019, New Power BI Online Experience",47.67,2019-05-23 02:24:58
28,uG32PtbWfTI,Detecting & Showcasing Outliers in Power BI,58.77,2018-03-22 22:03:19
29,DzNfGtLkfEQ,"Enterprise DNA Learning Summit - November 2018, Session 2",40.0,2018-11-22 23:46:58
30,n2MbiirYorc,"Enterprise DNA Learning Summit - November 2018, Session 3",48.27,2018-11-23 20:59:16
31,nH5CnjZjLMA,Key Elements to Advanced Power BI Solutions - Free Training Workshop,64.03,2018-10-16 23:09:01
32,lWzbALZIB9Y,Steps To Mastering Power BI & DAX,59.95,2019-07-11 00:34:23
33,x1zWC7VQtN0,Steps To Mastering Power BI & DAX - Upcoming Live Training Webinar,1.32,2017-07-02 23:09:09
34,3VtWepvby68,How Data Analytics Make Companies More Resilient By Shiv Misra,60.45,2021-01-04 00:36:36
35,jF5oMcSO20k,Scenario Analysis Patterns in Power BI using DAX,42.55,2019-06-06 00:18:40
36,z8G-M78qAQo,The Role Of Geospatial Data In Logistics,45.15,2020-12-21 02:47:39
37,VKfxkFfHtx0,Enterprise DNA Business Intelligence Summit - Data Evaluation & Model Planning,66.27,2020-05-17 23:44:36
38,yYzwFOU2WBE,Enterprise DNA Business Intelligence Summit - Distributing Your Analysis & Driving Better Decisions,60.97,2020-05-20 23:36:44
39,bFu1GVvdpxE,Imagine the Possibilities of Data Products with Power BI,46.95,2020-12-07 01:27:27
40,sFeOJp3YjSc,"Advanced Model Development - Enterprise DNA Learning Summit, August 2018",53.17,2018-08-27 23:30:55
41,kXZCla9pJQ4,"Attrition Analytics & Virtual Tables - Enterprise DNA Learning Summit, August 2018",46.97,2018-08-29 02:27:37
42,7cXVo6MJcyI,"Budgeting Techniques - Enterprise DNA Learning Summit, August 2018",42.0,2018-08-28 23:22:43
43,6o6Jgv7fsaQ,"Enterprise DNA Learning Summit - February 2019, Advanced Model Development",53.27,2019-02-21 20:57:08
44,aV_X0MoStr4,"Enterprise DNA Learning Summit - February 2019, Segmentation Patterns",46.68,2018-08-28 02:25:13
45,ANeIRH4JRtI,"Financial Reporting Templates - Enterprise DNA Learning Summit, August 2018",47.07,2018-08-29 23:24:08
46,sAEbseNj5TE,"Natural Language Queries (Q&A) - Enterprise DNA Learning Summit, August 2018",50.98,2018-08-30 02:29:49
47,O08_yJt38JA,Effective Power BI Reporting - Enterprise DNA Webinar Series,50.68,2019-02-28 21:00:07
48,j-R1mIk8Rns,The Rise of Self-Service Business Intelligence with Alex Moy - Ep. 03,51.95,2020-12-13 23:00:09
49,crJrLaRxcBU,How To Complete Advanced Analysis 10X Faster Than In Excel - Webinar,41.28,2017-03-07 23:03:01
50,#NAME?,Discovering Advanced Insights w/Power BI - Enterprise DNA Webinar Series,51.43,2019-05-02 00:24:45
51,MtQDeHl0klE,"Enterprise DNA Learning Summit - August 2019, Data Model Design Best Practices",48.75,2019-08-12 23:24:43
52,pgcb0ycAv-w,"Enterprise DNA Learning Summit - Feb 2018, Session 2",52.18,2018-02-21 00:05:40
53,2nRCXEpfAtg,"Enterprise DNA Learning Summit - November 2019, Ranking Insights Tips",46.35,2019-11-12 21:25:26
54,Z9xVJbJwmZs,"Enterprise DNA Learning Summit - November 2018, Session 5",43.25,2018-11-24 20:49:38
55,u6LyQU1VyN0,"Enterprise DNA Learning Summit - February 2020, Scenario Analysis Expansion",43.83,2020-02-18 21:17:04
